time,open,high,low,close
1782845040,30555.25,30557.75,30551.25,30554
1782845100,30554,30555.75,30547,30547.75
1782845160,30548.25,30554,30544.75,30550
1782845220,30550.25,30556.5,30549.75,30552.5
1782845280,30552.25,30562,30550.75,30561.25
1782845340,30561.25,30568,30559.25,30566.25
1782845400,30566,30574.75,30564.25,30574
1782845460,30573.5,30575.25,30560.5,30566
1782845520,30565.75,30569,30562.5,30565.5
1782845580,30564.75,30567.5,30560.5,30563.25
1782845640,30563.5,30563.5,30542.5,30547
1782845700,30547,30553,30545.75,30551.5
1782845760,30551.25,30561,30549.25,30558.75
1782845820,30558.5,30562.25,30553.5,30554.75
1782845880,30555,30559.25,30553.25,30556.5
1782845940,30556,30559.25,30551.5,30554.5
1782846000,30554,30565.25,30552.5,30564.25
1782846060,30563.75,30570,30563.25,30564.25
1782846120,30564.5,30570,30564,30568.25
1782846180,30568.25,30570.75,30561,30563.5
1782846240,30563.5,30567,30562.5,30564.25
1782846300,30564.5,30567.25,30555.25,30556.75
1782846360,30555.5,30565.75,30552,30559.5
1782846420,30559.5,30568.5,30556.75,30565.25
1782846480,30565,30575.75,30564,30575.75
1782846540,30575.5,30581.75,30574.5,30578.75
1782846600,30578.5,30581,30571.75,30581
1782846660,30580,30589.75,30578.75,30584.25
1782846720,30585.5,30589.5,30585.25,30588.5
1782846780,30588.5,30593,30588,30590.25
1782846840,30590,30592.75,30586.25,30591.5
1782846900,30591,30592.5,30586.75,30591
1782846960,30590.25,30591.5,30584.75,30587.75
1782847020,30588,30593.5,30586.5,30591.25
1782847080,30591.25,30599.75,30588,30588
1782847140,30588.25,30590.25,30576.25,30580
1782847200,30580,30583.5,30575,30578.75
1782847260,30578.5,30585.5,30577,30577.75
1782847320,30577.5,30587.5,30574.25,30585
1782847380,30585.25,30586.5,30578.75,30585.25
1782847440,30585.25,30588.25,30576.75,30577.5
1782847500,30577,30584.25,30575.25,30582.75
1782847560,30582.5,30584,30567.75,30577.25
1782847620,30577,30582.5,30574,30580
1782847680,30579.25,30581,30574.5,30575
1782847740,30574.75,30580,30572.5,30575.5
1782847800,30575.25,30580.25,30565.75,30570.75
1782847860,30571,30578.5,30569.75,30572.25
1782847920,30572.75,30577,30569.75,30574.5
1782847980,30574,30583.5,30573.25,30581.5
1782848040,30581.25,30581.25,30569,30569.5
1782848100,30569.5,30572.5,30561.25,30562
1782848160,30561.5,30566.25,30549.25,30558.5
1782848220,30558.75,30559.75,30550,30550
1782848280,30550,30558.5,30548.75,30553
1782848340,30553.25,30562,30550.75,30561.25
1782848400,30561.5,30579.25,30559.25,30567.25
1782848460,30566.75,30571.75,30563.75,30566.25
1782848520,30565.75,30580,30564.75,30572.75
1782848580,30573.5,30574.5,30560.75,30564
1782848640,30564,30580.75,30563.75,30577.25
1782848700,30577.5,30590,30566.5,30567.5
1782848760,30567.5,30575.25,30565.75,30573
1782848820,30572.5,30574.75,30564.5,30566
1782848880,30565.75,30571.25,30561.25,30566.75
1782848940,30566.5,30572,30564.5,30565.5
1782849000,30565.25,30570.5,30541.75,30543.25
1782849060,30543.25,30554.25,30540,30550.5
1782849120,30551.25,30563.75,30549.25,30555.5
1782849180,30555.5,30583.5,30550.25,30582.25
1782849240,30582.5,30594,30570,30572
1782849300,30572,30587.5,30564.75,30576.75
1782849360,30576,30584.5,30569.5,30578.25
1782849420,30578.25,30591,30576.5,30585.25
1782849480,30585,30592.75,30557.5,30558.25
1782849540,30558.25,30570,30510,30513.5
1782849600,30513.75,30535,30505,30523.25
1782849660,30522.5,30534.25,30518,30524.75
1782849720,30525.25,30537.75,30523,30526.25
1782849780,30526.25,30533.75,30522.25,30525.5
1782849840,30526.25,30534.25,30520,30531
1782849900,30531.5,30543,30525.75,30528.5
1782849960,30527,30535.5,30522,30533.25
1782850020,30532.75,30542,30532.25,30539.5
1782850080,30538.75,30541.5,30530.75,30532.75
